c.commentId,text,category
UgyYF8bf6AXRrjhGdJ14AaABAg,"Peggiori condivido le tre che hai messo in sbocco, le migliori direi Bourn., City e Leeds o United",Neutrale
Ugxywle64-SAKNjBKS94AaABAg,Rido troppo coi dissing al Pisa hahaha ormai è una lore del canale,Positiva
UgyYuLWkoyFkl-uwfed4AaABAg,Man utd❤,Positiva
UgzA-XvP_yXKGfI2hE14AaABAg,adesso voglio anche il video per le terze,Neutrale
UgzWWZLdUVVxJCgHRLh4AaABAg,"Ciao Vito. Voglio un tuo parere per la Partita tra Palermo - Manchester city, secondo te meritiamo un parcoscenico nel genere, contro squadre Europee?. Secondo me si, perché comunque il Palermo è anche un piazza caldissima nel calcio italiano. E per me viene troppo sottovalutata (essendo siciliano)",Neutrale
Ugy1WdDcaY-Id1hcqcN4AaABAg,Le 🔝 3 ..city Leeds arsenal,Neutrale
UgxyPJfS9zjPSvAk23B4AaABAg,la maglia del pisa l’hanno fatta uscire 1 ora fa,Neutrale
UgzH5O1mwnuuJtVQkiZ4AaABAg,🍀💪,Positiva
Ugwu3jFWTBLBdCmTYcV4AaABAg,ma siete più scemi voi che date peso a questi personaggi,Negativo
UgxCLAPRId22IYIET4R4AaABAg,Bravo,Positiva
Ugz7fsmeU34JAR22NxN4AaABAg,comunque i tifosi dello united pensano di avere chissa quale passato...,Negativo
UgzrHvXSPE4paGh5Uqh4AaABAg,Senza Ferguson erano il nulla totale,Negativo
UgxsFKRE7CmR_LX8Czt4AaABAg,"Anch’io lo seguo a goldbridge e il suo canale that’s football😂😂, il milan comunque rimane una delle più grandi squadre in italia e in europa",Positiva
UgysbdeiFaKaJRCcfBZ4AaABAg,Ma dai... Donnarumma è fortissimo e comunque rispetto a Ederson.....,Positiva
UgzAG0y2A-D-0X8kBml4AaABAg,Come puo in italiano tifare una squadra così 😂😂😂,Negativo
UgzBFTrUXtrEPPthKE94AaABAg,Siete abusivi in Premier lo sai vero?,Negativo
UgyBrlZvBbmoLcLdcV54AaABAg,"Savinho via per 55 + bonus , rodrygo 75 + 20 di bonus 
ederson via a qualsiasi cifra . gigio dentro per 30 + bonus visto che e in scadenza",Neutrale
UgzNoeBJ1qdS81bisYh4AaABAg,Ecco  cazzone gobbo di merda,Discriminatorio
UgxaXy_ufSTVHfqZ0DZ4AaABAg,Che vita di 💩 che fai con questa ossessione! Smetti anche di drogarti,Negativo
UgyG2kjGZOR4vZqZce54AaABAg,"Anche se non viene abbattuto, ma solo venduto ai p@gliacci, per quel prezzo è un crimine!",Negativo
UgxXiUnA5cS3qXmqYD54AaABAg,Non tutti ma una maggioranza è sanno solo offendere è neanche non ci puoi parlare assieme di calcio,Negativo
Ugzqhg_x41onM9cSmlx4AaABAg,"È com'era platiní e Blatter sono stati assolti  , dalle accuse di avere sottratto soldi dell' wuefa , però se il signor ceferin fa a umma umma dei business non molto chiari allora va bene, ma quant' è bella la mafia",Complottismo
Ugz2voInzMvYakXft0p4AaABAg,Buone vacanze a te e famiglia spero vederti presto,Positiva
UgwlZEK7csfibY1li794AaABAg,Buone ferie Gigio invece io le ho praticamente già finite 😟,Neutrale
Ugy_JTIYTKKmR0ohcG94AaABAg,"Ottimo lavoro Gigio, d'altronde quando furono emesse le sanzioni (😂😂😂😂sanzioni) uscirono il primo Maggio (Guarda caso 😂😂)
👏👏👏👏👏👏💯💯💯💯🖤🤍",Allarmismo
UgwHveLALUZgrVDqv1l4AaABAg,"Messi d'avanti alla verità, continuano a negare o parlare senza argomenti di senso!! Sono alla frutta 😂😂😂😂😂😂 dovrebbero farsi schifo e sputarsi da soli!!😂😂😂😂😂😂😂",Negativo
Ugz-suDkiLZz_IM_6YV4AaABAg,"😂😂INTERISTA INTERMERDA, datti all'ippica, si scommette tantissimo 👍👍CIAO CARTONEEEEEE 😂😂😂😂",Discriminatorio
UgzPvqsdkrGdM832RPZ4AaABAg,Caro Peter Pan ti seguo sempre ma poi ti lascio perché ti prolunghi un po'se stingi un po'migliori molto Gigio salentino juventino,Negativo
UgwqWCaBDxMTQ6zFxpV4AaABAg,"Ziliani è un sinistro buffone delirante. Ma fa il  paio con il fallito radiato Fessicchio....""è chiaro ed evidente..."" che il mago Zurlì di Agropoli è un cog.....ne acclarato!",Discriminatorio
UgwYujpIBvlwvN8tas14AaABAg,"Questa volta mi tocca dargli in parte ragione, cosa ci fanno tutti quegli ex juventini nella federazione interista giochi comici ?",Negativo
UgzNNFQ5CjwLoWi7qFR4AaABAg,Oggi sei scatenato 😂,Neutrale
UgynnybsVhGwWI_wMil4AaABAg,5 giorni che ti ho perso canta Zarrillo,Neutrale
UgycexsZCl1vJ_JraVV4AaABAg,"E che classe, tirare fuori dei fatti privati per screditare qualcuno. A prescindere che siano vere o no, dimostri di essere una persona misera.",Negativo
